Question,Correct Choice,Alternate1,Alternate2,Alternate3
Who is considered the father of computer science?,Alan Turing,Bill Gates,Steve Jobs,Mark Zuckerberg
"What does the abbreviation ""CPU"" stand for?",Central Processing Unit,Computer Processing Unit,Core Processing Unit,Control Processing Unit
Which company developed the first commercially successful personal computer?,IBM,Apple,Microsoft,Dell
What year was the first iPhone released?,2007,2005,2010,2012
"What does the term ""URL"" stand for?",Uniform Resource Locator,Universal Routing Language,Unique Resource Link,User Referral Link
Which programming language was developed by Guido van Rossum?,Python,Java,C++,Ruby
What is the smallest unit of digital information?,Bit,Byte,Megabyte,Gigabyte
Which company developed the first graphical web browser?,Netscape,Microsoft,Google,Apple
Who is the co-founder of Apple Inc. alongside Steve Jobs?,Steve Wozniak,Bill Gates,Larry Page,Elon Musk
"What does the acronym ""HTML"" stand for?",HyperText Markup Language,High-Tech Machine Language,Hyperlink and Text Markup Language,Hypertext Modeling Language
Which programming language is commonly used for developing Android apps?,Java,Python,C#,Swift
What is the most widely used programming language in the world?,JavaScript,C++,Ruby,PHP
Which company is known for its gaming console called PlayStation?,Sony,Microsoft,Nintendo,Sega
What is the primary function of an operating system?,Manage computer hardware and software resources,Run applications,Connect to the internet,Store files and folders
Who is often credited with inventing the computer mouse?,Douglas Engelbart,Bill Gates,Steve Jobs,Tim Berners-Lee
What is the name of Google's mobile operating system?,Android,iOS,Windows Mobile,Blackberry OS
Which programming language is often used for artificial intelligence and machine learning?,Python,Java,C#,Ruby
Who developed the first programming language called Fortran?,John Backus and a team of IBM researchers,Bill Gates and Paul Allen,Dennis Ritchie and Ken Thompson,Guido van Rossum
Which programming language is used to create websites?,HTML,CSS,JavaScript,PHP
"What does the acronym ""LAN"" stand for?",Local Area Network,Long Area Network,LocalArea Node,Local Access Network
What was the first widely-used web browser?,Mosaic,Internet Explorer,Netscape Navigator,Safari
Which company developed the Java programming language?,Sun Microsystems,Apple,Microsoft,IBM
What is the process of converting source code into machine code called?,Compilation,Interpretation,Debugging,Documentation
Which social media platform was founded by Mark Zuckerberg?,Facebook,Twitter,Instagram,LinkedIn
"What does the acronym ""VPN"" stand for?",Virtual Private Network,Virtual Personal Network,Very Powerful Network,Virtual Public Network
Which programming language is known for its use in statistical analysis and data science?,R,Python,Java,C++
"What does the acronym ""PDF"" stand for?",Portable Document Format,Personal Data File,Program Development File,Print Document File
What is the term used to describe a malicious software that encrypts files and demands a ransom?,Ransomware,Spyware,Malware,Adware
Which company developed the first commercial microprocessor?,Intel,AMD,IBM,Apple
What is the term for a small piece of code that performs a specific task and can be reused in multiple programs?,Function,Module,Class,Method
What is the term for the practice of copying someone else's work and presenting it as your own?,Plagiarism,Hacking,Phishing,Piracy
"What does the term ""WYSIWYG"" stand for?",What You See Is What You Get,Where You Search Is Where You Go,Who You Serve Is What You Gain,Why You Study Is What You Get
Which programming language is often used for game development?,C++,Python,JavaScript,Ruby
What is the term for a network of interconnected devices that can communicate and share resources without a centralized server?,Peer-to-peer network,Client-server network,Local network,Wide area network
Which company developed the first computer mouse?,Xerox,IBM,Microsoft,Apple
What is the term for a malicious program that disguises itself as a legitimate software?,Trojan horse,Virus,Worm,Spyware
Which programming language is often used for web scraping and data extraction?,Python,Java,C#,PHP
What is the term for the practice of writing code that is easy to understand and maintain?,Readability,Efficiency,Scalability,Reliability
Which company developed the Linux operating system?,Linus Torvalds,Microsoft,Apple,IBM
What is the term for a type of software that simulates a physical computer within another computer?,Virtual machine,Emulator,Compiler,Debugger
Which programming language is known for its use in scientific and numerical computing?,MATLAB,Ruby,Swift,Perl
What is the term for a technique that involves searching for vulnerabilities in computer systems to exploit them?,Hacking,Phishing,Spoofing,Brute forcing
Which company developed the Windows operating system?,Microsoft,Apple,IBM,Google
"What is the term for a type of attack that floods a network or server with excessive traffic, causing it to become unresponsive?",DDoS (Distributed Denial of Service) attack,SQL injection attack,Phishing attack,Man-in-the-middle attack
Which programming language is known for its use in system administration and scripting?,Bash,Ruby,C++,Swift
What is the term for a small piece of text stored on a user's computer by a website to remember user preferences or login information?,Cookie,Cache,Firewall,Virus
Which company developed the first commercial spreadsheet software?,VisiCorp,Microsoft,IBM,Lotus Development Corporation
What is the term for a set of rules or protocols that govern the exchange of data over a network?,Protocol,Algorithm,API (Application Programming Interface),Firewall
Which programming language is often used for building web applications and dynamic websites?,PHP,Python,Java,C#
"What is the term for the process of making changes to a software program to improve its performance, fix bugs, or add new features?",Software development,Software testing,Software deployment,Software documentation
